RECID=R2012111530000002	一	yī
RECID=R2012111530052673	淡妆	dàn zhuāng
RECID=R2012111530052674	淡远	dàn yuǎn
RECID=R2012111530052675	淡饭	dàn fàn
RECID=R2012111530052676	淡冷	dàn lěng
RECID=R2012111530052677	淡忘	dàn wàng
RECID=R2012111530052678	淡青	dàn qīng
RECID=R2012111530052679	淡事	dàn shì
RECID=R2012111530052680	淡季	dàn jì
RECID=R2012111530052681	淡泊	dàn bó
RECID=R2012111530052682	淡定	dàn dìng
RECID=R2012111530052683	淡话	dàn huà
RECID=R2012111530052684	淡荡	dàn dàng
RECID=R2012111530052685	淡素	dàn sù
RECID=R2012111530052686	淡菜	dàn cài
RECID=R2012111530052687	淡悠悠	dàn yōu yōu
RECID=R2012111530052688	淡淡	dàn dàn
RECID=R2012111530052689	淡雅	dàn yǎ
RECID=R2012111530052690	淡然	dàn rán
RECID=R2012111530052691	淡漠	dàn mò
RECID=R2012111530052692	淡薄	dàn bó
RECID=R2012111530052693	淙	cóng
RECID=R2012111530052694	淙淙	cóng cóng
RECID=R2012111530052695	淀	diàn
RECID=R2012111530052696	淀	diàn
RECID=R2012111530052697	淀粉	diàn fěn
RECID=R2012111530052698	淀粉酶	diàn fěn méi
RECID=R2012111530052699	涫	guàn
RECID=R2012111530052700	涳	kōng
RECID=R2012111530052701	涳蒙	kōng méng
RECID=R2012111530052702	涴	yuān
RECID=R2012111530052703	涴	wò
RECID=R2012111530052704	涴漫	wò màn
RECID=R2012111530052705	深	shēn
RECID=R2012111530052706	深入	shēn rù
RECID=R2012111530052707	深入人心	shēn rù rén xīn
RECID=R2012111530052708	深入浅出	shēn rù qiǎn chū
RECID=R2012111530052709	深入显出	shēn rù xiǎn chū
RECID=R2012111530052710	深入膏肓	shēn rù gāo huāng
RECID=R2012111530052711	深山	shēn shān
RECID=R2012111530052712	深山出俊鸟	shēn shān chū jùn niǎo
RECID=R2012111530052713	深山老林	shēn shān lǎo lín
RECID=R2012111530052714	深山野墺	shēn shān yě ào
RECID=R2012111530052715	深山密林	shēn shān mì lín
RECID=R2012111530052716	深广	shēn guǎng
RECID=R2012111530052717	深切	shēn qiè
RECID=R2012111530052718	深水炸弹	shēn shuǐ zhà dàn
RECID=R2012111530052719	深长	shēn cháng
RECID=R2012111530052720	深仁厚泽	shēn rén hòu zé
RECID=R2012111530052721	深化	shēn huà
RECID=R2012111530052722	深仇大恨	shēn chóu dà hèn
RECID=R2012111530052723	深仇宿怨	shēn chóu sù yuàn
RECID=R2012111530052724	深文大义	shēn wén dà yì
RECID=R2012111530052725	深文周纳	shēn wén zhōu nà
RECID=R2012111530052726	深心	shēn xīn
RECID=R2012111530052727	深玄	shēn xuán
RECID=R2012111530052728	深加工	shēn jiā gōng
RECID=R2012111530052729	深曲	shēn qū
RECID=R2012111530052730	深冲	shēn chòng
RECID=R2012111530052731	深交	shēn jiāo
RECID=R2012111530052732	深闭固拒	shēn bì gù jù
RECID=R2012111530052733	深宅大院	shēn zhái dà yuàn
RECID=R2012111530052734	深论	shēn lùn
RECID=R2012111530052735	深远	shēn yuǎn
RECID=R2012111530052736	深更半夜	shēn gēng bàn yè
RECID=R2012111530052737	深冷	shēn lěng
RECID=R2012111530052738	深谷	shēn gǔ
RECID=R2012111530052739	深沟高垒	shēn gōu gāo lěi
RECID=R2012111530052740	深沉	shēn chén
RECID=R2012111530052741	深究	shēn jiū
RECID=R2012111530052742	深层	shēn céng
RECID=R2012111530052743	深坡	shēn pō
RECID=R2012111530052744	深拗	shēn ào
RECID=R2012111530052745	深茂	shēn mào
RECID=R2012111530052746	深林	shēn lín
RECID=R2012111530052747	深郁	shēn yù
RECID=R2012111530052748	深到	shēn dào
RECID=R2012111530052749	深味	shēn wèi
RECID=R2012111530052750	深明	shēn míng
RECID=R2012111530052751	深明大义	shēn míng dà yì
RECID=R2012111530052752	深固	shēn gù
RECID=R2012111530052753	深呼吸	shēn hū xī
RECID=R2012111530052754	深知	shēn zhī
RECID=R2012111530052755	深夜	shēn yè
RECID=R2012111530052756	深刻	shēn kè
RECID=R2012111530052757	深浅	shēn qiǎn
RECID=R2012111530052758	深怕	shēn pà
RECID=R2012111530052759	深怪	shēn guài
RECID=R2012111530052760	深居简出	shēn jū jiǎn chū
RECID=R2012111530052761	深厚	shēn hòu
RECID=R2012111530052762	深省	shēn xǐng
RECID=R2012111530052763	深思	shēn sī
RECID=R2012111530052764	深思熟虑	shēn sī shú lǜ
RECID=R2012111530052765	深幽	shēn yōu
RECID=R2012111530052766	深秋	shēn qiū
RECID=R2012111530052767	深重	shēn zhòng
RECID=R2012111530052768	深信	shēn xìn
RECID=R2012111530052769	深度	shēn dù
RECID=R2012111530052770	深度冷冻	shēn dù lěng dòng
RECID=R2012111530052771	深度制冷	shēn dù zhì lěng
RECID=R2012111530052772	深闺	shēn guī
RECID=R2012111530052773	深炯	shēn jiǒng
RECID=R2012111530052774	深耕	shēn gēng
RECID=R2012111530052775	深挚	shēn zhì
RECID=R2012111530052776	深恶痛绝	shēn wù tòng jué
RECID=R2012111530052777	深恶痛疾	shēn wù tòng jí
RECID=R2012111530052778	深恶痛嫉	shēn wù tòng jí
RECID=R2012111530052779	深致	shēn zhì
RECID=R2012111530052780	深恩	shēn ēn
RECID=R2012111530052781	深峻	shēn jùn
RECID=R2012111530052782	深造	shēn zào
RECID=R2012111530052783	深透	shēn tòu
RECID=R2012111530052784	深涩	shēn sè
RECID=R2012111530052785	深宵	shēn xiāo
RECID=R2012111530052786	深谈	shēn tán
RECID=R2012111530052787	深通	shēn tōng
RECID=R2012111530052788	深晦	shēn huì
RECID=R2012111530052789	深望	shēn wàng
RECID=R2012111530052790	深渊	shēn yuān
RECID=R2012111530052791	深深	shēn shēn
RECID=R2012111530052792	深情	shēn qíng
RECID=R2012111530052793	深情厚谊	shēn qíng hòu yì
RECID=R2012111530052794	深情厚意	shēn qíng hòu yì
RECID=R2012111530052795	深密	shēn mì
RECID=R2012111530052796	深谋远虑	shēn móu yuǎn lǜ
RECID=R2012111530052797	深奥	shēn ào
RECID=R2012111530052798	深湛	shēn zhàn
RECID=R2012111530052799	深意	shēn yì
RECID=R2012111530052800	深察	shēn chá
RECID=R2012111530052801	深槽	shēn cáo
RECID=R2012111530052802	深醇	shēn chún
RECID=R2012111530052803	深潜器	shēn qián qì
RECID=R2012111530052804	深醒	shēn xǐng
RECID=R2012111530052805	深默	shēn mò
RECID=R2012111530052806	深藏若虚	shēn cáng ruò xū
RECID=R2012111530052807	深壑	shēn hè
RECID=R2012111530052808	深赡	shēn shàn
RECID=R2012111530052809	深邃	shēn suì
RECID=R2012111530052810	渌	lù
RECID=R2012111530052811	涮	shuàn
RECID=R2012111530052812	涮人	shuàn rén
RECID=R2012111530052813	涮羊肉	shuàn yáng ròu
RECID=R2012111530052814	涮锅子	shuàn guō zi
RECID=R2012111530052815	涵	hán
RECID=R2012111530052816	涵义	hán yì
RECID=R2012111530052817	涵闸	hán zhá
RECID=R2012111530052818	涵映	hán yìng
RECID=R2012111530052819	涵养	hán yǎng
RECID=R2012111530052820	涵洞	hán dòng
RECID=R2012111530052821	涵容	hán róng
RECID=R2012111530052822	涵盖	hán gài
RECID=R2012111530052823	涵量	hán liàng
RECID=R2012111530052824	涵蓄	hán xù
RECID=R2012111530052825	涵意	hán yì
RECID=R2012111530052826	涵管	hán guǎn
RECID=R2012111530052827	涵濡	hán rú
RECID=R2012111530052828	渗	shèn
RECID=R2012111530052829	渗入	shèn rù
RECID=R2012111530052830	渗井	shèn jǐng
RECID=R2012111530052831	渗匀	shèn yún
RECID=R2012111530052832	渗出	shèn chū
RECID=R2012111530052833	渗合	shèn hé
RECID=R2012111530052834	渗杂	shèn zá
RECID=R2012111530052835	渗坑	shèn kēng
RECID=R2012111530052836	渗沟	shèn gōu
RECID=R2012111530052837	渗析	shèn xī
RECID=R2012111530052838	渗和	shèn huò
RECID=R2012111530052839	渗透	shèn tòu
RECID=R2012111530052840	渗渍	shèn zì
RECID=R2012111530052841	渗漏	shèn lòu
RECID=R2012111530052842	涰	chuò
RECID=R2012111530052843	涰泣	chuò qì
RECID=R2012111530052844	淄	zī
RECID=R2012111530052845	<span class="PUC01_E8">&#xe84a;</span>	hòng
RECID=R2012111530052846	<span class="PUC01_E8">&#xe84a;</span>洞	hòng dòng
RECID=R2012111530052847	𣸣	fén
RECID=R2012111530052848	𣸣	pēn
RECID=R2012111530052849	𣸣发	pēn fā
RECID=R2012111530052850	𣸣涌	pēn yǒng
RECID=R2012111530052851	湛	zhàn
RECID=R2012111530052852	湛波	zhàn bō
RECID=R2012111530052853	湛凉	zhàn liáng
RECID=R2012111530052854	湛清	zhàn qīng
RECID=R2012111530052855	湛然	zhàn rán
RECID=R2012111530052856	湛湛	zhàn zhàn
RECID=R2012111530052857	湛湛新	zhàn zhàn xīn
RECID=R2012111530052858	湛蓝	zhàn lán
RECID=R2012111530052859	湛碧	zhàn bì
RECID=R2012111530052860	湛澈	zhàn chè
RECID=R2012111530052861	港	gǎng
RECID=R2012111530052862	港人	gǎng rén
RECID=R2012111530052863	港口	gǎng kǒu
RECID=R2012111530052864	港元	gǎng yuán
RECID=R2012111530052865	港区	gǎng qū
RECID=R2012111530052866	港币	gǎng bì
RECID=R2012111530052867	港务	gǎng wù
RECID=R2012111530052868	港池	gǎng chí
RECID=R2012111530052869	港汊	gǎng chà
RECID=R2012111530052870	港味	gǎng wèi
RECID=R2012111530052871	港鱼	gǎng yú
RECID=R2012111530052872	港养	gǎng yǎng
RECID=R2012111530052873	港派	gǎng pài
RECID=R2012111530052874	港埠	gǎng bù
RECID=R2012111530052875	港脚	gǎng jiǎo
RECID=R2012111530052876	港商	gǎng shāng
RECID=R2012111530052877	港湾	gǎng wān
RECID=R2012111530052878	港警	gǎng jǐng
RECID=R2012111530052879	渫	xiè
RECID=R2012111530052880	滞	zhì
RECID=R2012111530052881	滞止	zhì zhǐ
RECID=R2012111530052882	滞后	zhì hòu
RECID=R2012111530052883	滞呆	zhì dāi
RECID=R2012111530052884	滞闷	zhì mèn
RECID=R2012111530052885	滞迟	zhì chí
RECID=R2012111530052886	滞纳金	zhì nà jīn
RECID=R2012111530052887	滞郁	zhì yù
RECID=R2012111530052888	滞胀	zhì zhàng
RECID=R2012111530052889	滞育激素	zhì yù jī sù
RECID=R2012111530052890	滞定	zhì dìng
RECID=R2012111530052891	滞空	zhì kōng
RECID=R2012111530052892	滞钝	zhì dùn
RECID=R2012111530052893	滞重	zhì zhòng
RECID=R2012111530052894	滞洪	zhì hóng
RECID=R2012111530052895	滞留	zhì liú
RECID=R2012111530052896	滞涩	zhì sè
RECID=R2012111530052897	滞晦	zhì huì
RECID=R2012111530052898	滞销	zhì xiāo
RECID=R2012111530052899	滞缓	zhì huǎn
RECID=R2012111530052900	滞碍	zhì ài
RECID=R2012111530052901	滞暗	zhì àn
RECID=R2012111530052902	滞塞	zhì sè
RECID=R2012111530052903	滞凝	zhì níng
RECID=R2012111530052904	滞黯	zhì àn
RECID=R2012111530052905	溚	tǎ
RECID=R2012111530052906	溁	yíng
RECID=R2012111530052907	溁洄	yíng huí
RECID=R2012111530052908	湖	hú
RECID=R2012111530052909	湖石	hú shí
RECID=R2012111530052910	湖北大鼓	hú běi dà gǔ
RECID=R2012111530052911	湖北渔鼓	hú běi yú gǔ
RECID=R2012111530052912	湖田	hú tián
RECID=R2012111530052913	湖丝	hú sī
RECID=R2012111530052914	湖光山色	hú guāng shān sè
RECID=R2012111530052915	湖色	hú sè
RECID=R2012111530052916	湖羊	hú yáng
RECID=R2012111530052917	湖米	hú mǐ
RECID=R2012111530052918	湖州滩簧	hú zhōu tān huáng
RECID=R2012111530052919	湖泊	hú pō
RECID=R2012111530052920	湖沼	hú zhǎo
RECID=R2012111530052921	湖绉	hú zhòu
RECID=R2012111530052922	湖南丝弦	hú nán sī xián
RECID=R2012111530052923	湖盆	hú pén
RECID=R2012111530052924	湖笔	hú bǐ
RECID=R2012111530052925	湖海	hú hǎi
RECID=R2012111530052926	湖剧	hú jù
RECID=R2012111530052927	湖桑	hú sāng
RECID=R2012111530052928	湖霸	hú bà
RECID=R2012111530052929	渣	zhā
RECID=R2012111530052930	渣子	zhā zi
RECID=R2012111530052931	渣柜	zhā guì
RECID=R2012111530052932	渣渣	zhā zha
RECID=R2012111530052933	渣滓	zhā zǐ
RECID=R2012111530052934	湘	xiāng
RECID=R2012111530052935	湘竹	xiāng zhú
RECID=R2012111530052936	湘妃竹	xiāng fēi zhú
RECID=R2012111530052937	湘妃椅	xiāng fēi yǐ
RECID=R2012111530052938	湘灵	xiāng líng
RECID=R2012111530052939	湘帘	xiāng lián
RECID=R2012111530052940	湘语	xiāng yǔ
RECID=R2012111530052941	湘剧	xiāng jù
RECID=R2012111530052942	湘绣	xiāng xiù
RECID=R2012111530052943	湘累	xiāng léi
RECID=R2012111530052944	渤	bó
RECID=R2012111530052945	渤渤	bó b
RECID=R2012111530052946	湢	bì
RECID=R2012111530052947	湮	yān
RECID=R2012111530052948	湮灭	yān miè
RECID=R2012111530052949	湮远	yān yuǎn
RECID=R2012111530052950	湮没	yān mò
RECID=R2012111530052951	湮没无闻	yān mò wú wén
RECID=R2012111530052952	湮枯	yān kū
RECID=R2012111530052953	湮昧	yān mèi
RECID=R2012111530052954	湮埋	yān mái
RECID=R2012111530052955	湮微	yān wēi
RECID=R2012111530052956	湮	
RECID=R2012111530052957	湎	miǎn
RECID=R2012111530052958	湝	jiē
RECID=R2012111530052959	<span class="PUC07_E2">&#xe2ec;</span>	làn
RECID=R2012111530052960	湨	jú
RECID=R2012111530052961	湜	shí
RECID=R2012111530052962	渺	miǎo
RECID=R2012111530052963	渺渺	miǎo miǎo
RECID=R2012111530052964	渺寥	miǎo liáo
RECID=R2012111530052965	渺	miǎo
RECID=R2012111530052966	渺小	miǎo xiǎo
RECID=R2012111530052967	渺无人迹	miǎo wú rén jì
RECID=R2012111530052968	渺无人烟	miǎo wú rén yān
RECID=R2012111530052969	渺无人踪	miǎo wú rén zōng
RECID=R2012111530052970	渺无音讯	miǎo wú yīn xùn
RECID=R2012111530052971	渺无音信	miǎo wú yīn xìn
RECID=R2012111530052972	渺无影踪	miǎo wú yǐng zōng
RECID=R2012111530052973	渺无踪影	miǎo wú zōng yǐng
RECID=R2012111530052974	渺不足道	miǎo bù zú dào
RECID=R2012111530052975	渺远	miǎo yuǎn
RECID=R2012111530052976	渺视	miǎo shì
RECID=R2012111530052977	渺茫	miǎo máng
RECID=R2012111530052978	渺然无存	miǎo rán wú cún
RECID=R2012111530052979	渺渺	miǎo miǎo
RECID=R2012111530052980	渺漠	miǎo mò
RECID=R2012111530052981	湿	shī
RECID=R2012111530052982	湿气	shī qì
RECID=R2012111530052983	湿风	shī fēng
RECID=R2012111530052984	湿邪	shī xié
RECID=R2012111530052985	湿季	shī jì
RECID=R2012111530052986	湿度	shī dù
RECID=R2012111530052987	湿度计	shī dù jì
RECID=R2012111530052988	湿津津	shī jīn jīn
RECID=R2012111530052989	湿洳	shī rù
RECID=R2012111530052990	湿热	shī rè
RECID=R2012111530052991	湿疹	shī zhěn
RECID=R2012111530052992	湿润	shī rùn
RECID=R2012111530052993	湿润润	shī rùn rùn
RECID=R2012111530052994	湿渍渍	shī zì zì
RECID=R2012111530052995	湿淋淋	shī lín lín
RECID=R2012111530052996	湿渌渌	shī lù lù
RECID=R2012111530052997	湿答答	shī dā dā
RECID=R2012111530052998	湿温	shī wēn
RECID=R2012111530052999	湿蒙蒙	shī méng méng
RECID=R2012111530053000	湿漉漉	shī lù lù
RECID=R2012111530053001	温	wēn
RECID=R2012111530053002	温习	wēn xí
RECID=R2012111530053003	温中	wēn zhōng
RECID=R2012111530053004	温仁	wēn rén
RECID=R2012111530053005	温文	wēn wén
RECID=R2012111530053006	温文尔雅	wēn wén ěr yǎ
RECID=R2012111530053007	温文儒雅	wēn wén rú yǎ
RECID=R2012111530053008	温火	wēn huǒ
RECID=R2012111530053009	温书	wēn shū
RECID=R2012111530053010	温轧	wēn zhá
RECID=R2012111530053011	温存	wēn cún
RECID=R2012111530053012	温血动物	wēn xuè dòng wù
RECID=R2012111530053013	温州蜜柑	wēn zhōu mì gān
RECID=R2012111530053014	温汤	wēn tāng
RECID=R2012111530053015	温驯	wēn xùn
RECID=R2012111530053016	温吞	wēn tūn
RECID=R2012111530053017	温吞水	wēn tūn shuǐ
RECID=R2012111530053018	温秀	wēn xiù
RECID=R2012111530053019	温床	wēn chuáng
RECID=R2012111530053020	温良	wēn liáng
RECID=R2012111530053021	温良恭俭让	wēn liáng gōng jiǎn ràng
RECID=R2012111530053022	温郁	wēn yù
RECID=R2012111530053023	温软	wēn ruǎn
RECID=R2012111530053024	温和	(一) wēn hé;(二)wēn huo
RECID=R2012111530053025	温饱	wēn bǎo
RECID=R2012111530053026	温诚	wēn chéng
RECID=R2012111530053027	温居	wēn jū
RECID=R2012111530053028	温故知新	wēn gù zhī xīn
RECID=R2012111530053029	温带	wēn dài
RECID=R2012111530053030	温带气候	wēn dài qì hòu
RECID=R2012111530053031	温标	wēn biāo
RECID=R2012111530053032	温厚	wēn hòu
RECID=R2012111530053033	温顺	wēn shùn
RECID=R2012111530053034	温泉	wēn quán
RECID=R2012111530053035	温度	wēn dù
RECID=R2012111530053036	温度计	wēn dù jì
RECID=R2012111530053037	温度表	wēn dù biǎo
RECID=R2012111530053038	温差	wēn chā
RECID=R2012111530053039	温美	wēn měi
RECID=R2012111530053040	温恂	wēn xún
RECID=R2012111530053041	温室	wēn shì
RECID=R2012111530053042	温室效应	wēn shì xiào yìng
RECID=R2012111530053043	温语	wēn yǔ
RECID=R2012111530053044	温柔	wēn róu
RECID=R2012111530053045	温柔乡	wēn róu xiāng
RECID=R2012111530053046	温柔敦厚	wēn róu dūn hòu
RECID=R2012111530053047	温热	wēn rè
RECID=R2012111530053048	温爱	wēn ài
RECID=R2012111530053049	温病	wēn bìng
RECID=R2012111530053050	温润	wēn rùn
RECID=R2012111530053051	温课	wēn kè
RECID=R2012111530053052	温理	wēn lǐ
RECID=R2012111530053053	温控	wēn kòng
RECID=R2012111530053054	温淑	wēn shū
RECID=R2012111530053055	温淡	wēn dàn
RECID=R2012111530053056	温情	wēn qíng
RECID=R2012111530053057	温情脉脉	wēn qíng mò mò
RECID=R2012111530053058	温情密意	wēn qíng mì yì
RECID=R2012111530053059	温情蜜意	wēn qíng mì yì
RECID=R2012111530053060	温婉	wēn wǎn
RECID=R2012111530053061	温雅	wēn yǎ
RECID=R2012111530053062	温善	wēn shàn
RECID=R2012111530053063	温温	wēn wēn
RECID=R2012111530053064	温犀	wēn xī
RECID=R2012111530053065	温暖	wēn nuǎn
RECID=R2012111530053066	温煦	wēn xù
RECID=R2012111530053067	温慈	wēn cí
RECID=R2012111530053068	温静	wēn jìng
RECID=R2012111530053069	温蔼	wēn ǎi
RECID=R2012111530053070	温醇	wēn chún
RECID=R2012111530053071	温颜	wēn yán
RECID=R2012111530053072	温慰	wēn wèi
RECID=R2012111530053073	温暾	wēn tūn
RECID=R2012111530053074	温馥	wēn fù
RECID=R2012111530053075	温馨	wēn xīn
RECID=R2012111530053076	渴	kě
RECID=R2012111530053077	渴切	kě qiè
RECID=R2012111530053078	渴求	kě qiú
RECID=R2012111530053079	渴念	kě niàn
RECID=R2012111530053080	渴盼	kě pàn
RECID=R2012111530053081	渴望	kě wàng
RECID=R2012111530053082	渴想	kě xiǎng
RECID=R2012111530053083	渴睡	kě shuì
RECID=R2012111530053084	渴慕	kě mù
RECID=R2012111530053085	渴	jié
RECID=R2012111530053086	渭	wèi
RECID=R2012111530053087	渭浊泾清	jié zhuó jīng qīng
RECID=R2012111530053088	溃	kuì
RECID=R2012111530053089	溃不成军	kuì bù chéng jūn
RECID=R2012111530053090	溃灭	kuì miè
RECID=R2012111530053091	溃决	kuì jué
RECID=R2012111530053092	溃乱	kuì luàn
RECID=R2012111530053093	溃兵	kuì bīng
RECID=R2012111530053094	溃兵游勇	kuì bīng yóu yǒng
RECID=R2012111530053095	溃败	kuì bài
RECID=R2012111530053096	溃疡	kuì yáng
RECID=R2012111530053097	溃逃	kuì táo
RECID=R2012111530053098	溃烂	kuì làn
RECID=R2012111530053099	溃退	kuì tuì
RECID=R2012111530053100	溃脓	kuì nóng
RECID=R2012111530053101	溃散	kuì sàn
RECID=R2012111530053102	溃裂	kuì liè
RECID=R2012111530053103	溃遁	kuì dùn
RECID=R2012111530053104	溃窜	kuì cuàn
RECID=R2012111530053105	湍	tuān
RECID=R2012111530053106	湍鸣	tuān míng
RECID=R2012111530053107	湍急	tuān jí
RECID=R2012111530053108	湍流	tuān liú
RECID=R2012111530053109	湍蛙	tuān wā
RECID=R2012111530053110	湍激	tuān jī
RECID=R2012111530053111	溅	jiàn
RECID=R2012111530053112	溅洒	jiàn sǎ
RECID=R2012111530053113	溅落	jiàn luò
RECID=R2012111530053114	溅	jiān
RECID=R2012111530053115	溅溅	jiān jiān
RECID=R2012111530053116	滑	huá
RECID=R2012111530053117	滑人	huá rén
RECID=R2012111530053118	滑不唧溜	huá bù jī liū
RECID=R2012111530053119	滑不溜	huá bù liū
RECID=R2012111530053120	滑车	huá chē
RECID=R2012111530053121	滑水	huá shuǐ
RECID=R2012111530053122	滑水板运动	huá shuǐ bǎn yùn dòng
RECID=R2012111530053123	滑石	huá shí
RECID=R2012111530053124	滑石粉	huá shí fěn
RECID=R2012111530053125	滑头	huá tóu
RECID=R2012111530053126	滑头面	huá tóu miàn
RECID=R2012111530053127	滑头鬼	huá tóu guǐ
RECID=R2012111530053128	滑头滑脑	huá tóu huá nǎo
RECID=R2012111530053129	滑出溜	huá chū liū
RECID=R2012111530053130	滑动	huá dòng
RECID=R2012111530053131	滑动轴承	huá dòng zhóu chéng
RECID=R2012111530053132	滑动摩擦	huá dòng mó cā
RECID=R2012111530053133	滑行	huá xíng
RECID=R2012111530053134	滑行艇	huá xíng tǐng
RECID=R2012111530053135	滑冰	huá bīng
RECID=R2012111530053136	滑冰场	huá bīng chǎng
RECID=R2012111530053137	滑杆	huá gān
RECID=R2012111530053138	滑坡	huá pō
RECID=R2012111530053139	滑刺溜	huá cì liū
RECID=R2012111530053140	滑轮	huá lún
RECID=R2012111530053141	滑轮组	huá lún zǔ
RECID=R2012111530053142	滑货	huá huò
RECID=R2012111530053143	滑泽	huá zé
RECID=R2012111530053144	滑降	huá jiàng
RECID=R2012111530053145	滑竿	huá gān
RECID=R2012111530053146	滑鬼	huá guǐ
RECID=R2012111530053147	滑音	huá yīn
RECID=R2012111530053148	滑润	huá rùn
RECID=R2012111530053149	滑梯	huá tī
RECID=R2012111530053150	滑爽	huá shuǎng
RECID=R2012111530053151	滑雪	huá xuě
RECID=R2012111530053152	滑雪板	huá xuě bǎn
RECID=R2012111530053153	滑雪服	huá xuě fú
RECID=R2012111530053154	滑雪衫	huá xuě shān
RECID=R2012111530053155	滑脚	huá jiǎo
RECID=R2012111530053156	滑落	huá luò
RECID=R2012111530053157	滑跌	huá diē
RECID=R2012111530053158	滑翔	huá xiáng
RECID=R2012111530053159	滑翔机	huá xiáng jī
RECID=R2012111530053160	滑翔运动	huá xiáng yùn dòng
RECID=R2012111530053161	滑道	huá dào
RECID=R2012111530053162	滑塌	huá tā
RECID=R2012111530053163	滑塌精光	huá tā jīng guāng
RECID=R2012111530053164	滑鼠	huá shǔ
RECID=R2012111530053165	滑腻	huá nì
RECID=R2012111530053166	滑腻腻	huá nì nì
RECID=R2012111530053167	滑溜	(一)huá liu;(二)huá liū
RECID=R2012111530053168	滑蜥	huá xī
RECID=R2012111530053169	滑精	huá jīng
RECID=R2012111530053170	滑嫩	huá nèn
RECID=R2012111530053171	滑膛炮	huá táng pào
RECID=R2012111530053172	滑	huá
RECID=R2012111530053173	滑天下之大稽	huá tiān xià zhī dà jī
RECID=R2012111530053174	滑稽	huá jī
RECID=R2012111530053175	滑稽戏	huá jī xì
RECID=R2012111530053176	滑稽剧	huá jī jù
RECID=R2012111530053177	湃	pài
RECID=R2012111530053178	湫	jiǎo
RECID=R2012111530053179	湫仄	jiǎo zè
RECID=R2012111530053180	湫隘	jiǎo ài
RECID=R2012111530053181	湫	qiū
RECID=R2012111530053182	溲	sōu
RECID=R2012111530053183	溲溲	sōu sōu
RECID=R2012111530053184	溲溺	sōu niào
RECID=R2012111530053185	湟	huáng
RECID=R2012111530053186	湟鱼	huáng yú
RECID=R2012111530053187	溆	xù
RECID=R2012111530053188	渝	yú
RECID=R2012111530053189	湲	yuán
RECID=R2012111530053190	湌	
RECID=R2012111530053191	湓	pén
RECID=R2012111530053192	㴔	xī
RECID=R2012111530053193	湾	wān
RECID=R2012111530053194	湾环	wān huán
RECID=R2012111530053195	湾泊	wān bó
RECID=R2012111530053196	湾酸	wān suān
RECID=R2012111530053197	湾鳄	wān è
RECID=R2012111530053198	渟	tíng
RECID=R2012111530053199	渡	dù
RECID=R2012111530053200	渡口	dù kǒu
RECID=R2012111530053201	渡引	dù yǐn
RECID=R2012111530053202	渡世	dù shì
RECID=R2012111530053203	渡荒	dù huāng
RECID=R2012111530053204	渡鸦	dù yā
RECID=R2012111530053205	渡客	dù kè
RECID=R2012111530053206	渡船	dù chuán
RECID=R2012111530053207	渡越	dù yuè
RECID=R2012111530053208	渡槽	dù cáo
RECID=R2012111530053209	游	yóu
RECID=R2012111530053210	游弋	yóu yì
RECID=R2012111530053211	游水	yóu shuǐ
RECID=R2012111530053212	游泳	yóu yǒng
RECID=R2012111530053213	游泳池	yóu yǒng chí
RECID=R2012111530053214	游泳装	yóu yǒng zhuāng
RECID=R2012111530053215	游蛇	yóu shé
RECID=R2012111530053216	游程	yóu chéng
RECID=R2012111530053217	游槎	yóu chá
RECID=R2012111530053218	游鳞	yóu lín
RECID=R2012111530053219	游	yóu
RECID=R2012111530053220	游人	yóu rén
RECID=R2012111530053221	游土	yóu tǔ
RECID=R2012111530053222	游弋	yóu yì
RECID=R2012111530053223	游山玩水	yóu shān wán shuǐ
RECID=R2012111530053224	游山玩景	yóu shān wán jǐng
RECID=R2012111530053225	游千	yóu qiān
RECID=R2012111530053226	游门	yóu mén
RECID=R2012111530053227	游子	yóu zǐ
RECID=R2012111530053228	游刃	yóu rèn
RECID=R2012111530053229	游刃有余	yóu rèn yǒu yú
RECID=R2012111530053230	游乡	yóu xiāng
RECID=R2012111530053231	游云	yóu yún
RECID=R2012111530053232	游艺	yóu yì
RECID=R2012111530053233	游艺场	yóu yì chǎng
RECID=R2012111530053234	游艺会	yóu yì huì
RECID=R2012111530053235	游历	yóu lì
RECID=R2012111530053236	游手	yóu shǒu
RECID=R2012111530053237	游手好闲	yóu shǒu hào xián
RECID=R2012111530053238	游气	yóu qì
RECID=R2012111530053239	游方	yóu fāng
RECID=R2012111530053240	游斗	yóu dòu
RECID=R2012111530053241	游心	yóu xīn
RECID=R2012111530053242	游击	yóu jī
RECID=R2012111530053243	游击区	yóu jī qū
RECID=R2012111530053244	游击队	yóu jī duì
RECID=R2012111530053245	游击战	yóu jī zhàn
RECID=R2012111530053246	游目	yóu mù
RECID=R2012111530053247	游目骋怀	yóu mù chěng huái
RECID=R2012111530053248	游仕	yóu shì
RECID=R2012111530053249	游乐	yóu lè
RECID=R2012111530053250	游乐场	yóu lè chǎng
RECID=R2012111530053251	游记	yóu jì
RECID=R2012111530053252	游民	yóu mín
RECID=R2012111530053253	游民无产者	yóu mín wú chǎn zhě
RECID=R2012111530053254	游丝	yóu sī
RECID=R2012111530053255	游动	yóu dòng
RECID=R2012111530053256	游动哨	yóu dòng shào
RECID=R2012111530053257	游百病	yóu bǎi bìng
RECID=R2012111530053258	游行	yóu xíng
RECID=R2012111530053259	游兴	yóu xìng
